20240114	22:46:15	cf90f298-faf2-4555-88f7-dad4c862a86a	/newPage	GET
20240114	22:46:15	48d01bc2-171c-4c8d-b9e3-6876fa2cca05	/img/mountain.jpeg	GET
20240123	10:24:29	f6ccd306-8857-485b-80c2-bee8caf0f627	GET	undefined	/
20240123	10:24:29	816668e0-b261-4b38-9236-c04155222140	GET	undefined	/
20240123	10:24:54	5e825c74-bbf2-45be-8511-816795177363	GET	undefined	/
20240123	10:25:09	883fc161-1016-4664-9dcf-0f3ec3fd8efd	GET	undefined	/
20240123	10:25:52	183ce883-0249-4920-acfe-501810ecbcfa	GET	undefined	/
20240123	10:35:46	90c5f3e4-da77-4064-a539-70097fb47300	GET	null	/
20240123	10:36:38	0f11220d-2650-4892-bdf3-78729ad12073	GET	null	/
20240123	19:30:06	947e6022-3084-4e32-a1ac-31eee0157302	GET	undefined	/
20240123	19:30:08	572c9f78-d492-4b7c-ac1e-1315ba69f754	GET	undefined	/css/sttyled.css
20240123	19:30:08	1971bda9-dc56-47d8-a841-191ba14483fe	GET	undefined	/favicon.ico
20240123	19:30:47	2f165aca-1379-4050-a409-3c0b55c9dbc0	OPTIONS	https://www.google.com	/
20240123	19:30:48	f2ab5fff-389c-4133-a2be-b01e5bdccde7	GET	https://www.google.com	/
20240123	19:34:07	a00cacce-eb34-45c1-b295-fa86ff50bb0a	GET	https://www.youtube.com	/
20240123	19:54:23	0f9c6715-4fef-4569-9ffb-5f110b971317	GET	undefined	/index
20240123	19:54:23	94f3bb4d-8ad6-4f2a-ab5d-8c1025fe3856	GET	undefined	/css/sttyled.css
20240123	19:54:28	4e0c3d98-3537-476b-8c95-bb026964f894	GET	undefined	/indexasd
20240123	19:54:28	4ab6ffde-e812-4413-931b-d9a91330581e	GET	undefined	/css/sttyled.css
20240125	18:16:40	8760f979-2f59-4beb-b54d-ddc95192f830	GET	undefined	/indexasd
20240125	18:16:44	ef07e30f-e1e0-40de-be15-e9ad3b9af924	GET	undefined	/css/sttyled.css
20240125	18:25:53	8443a3a4-12c9-4f9e-ab3a-aae4a1886d9e	OPTIONS	https://www.google.com	/
